"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14087895","JK120397","01/18/2026 02:47:00 PM","0000X W CHICAGO AVE","0860","THEFT","RETAIL THEFT","GROCERY FOOD STORE","false","false","1832","018","42","8","06","1176106","1905725","2026","01/26/2026 03:42:39 PM","41,896671699","-87,628635323","POINT (-87.628635323 41.896671699)"
"14087027","JK119952","01/18/2026 02:35:00 PM","021XX N HALSTED ST","0560","ASSAULT","SIMPLE","SMALL RETAIL STORE","false","false","1812","018","43","7","08A","1170599","1914502","2026","01/26/2026 03:42:39 PM","41,920878618","-87,648604096","POINT (-87.648604096 41.920878618)"
"14087030","JK119875","01/18/2026 02:34:00 PM","014XX N KINGSBURY ST","0460","BATTERY","SIMPLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","1822","018","27","8","08B","1170125","1909275","2026","01/26/2026 03:42:39 PM","41,906545818","-87,650498565","POINT (-87.650498565 41.906545818)"
"14087589","JK120414","01/18/2026 02:30:00 PM","115XX S LAFAYETTE AVE","0610","BURGLARY","FORCIBLE ENTRY","CHURCH / SYNAGOGUE / PLACE OF WORSHIP","false","false","0522","005","9","53","05","1177993","1827941","2026","01/26/2026 03:42:39 PM","41,683182066","-87,624061636","POINT (-87.624061636 41.683182066)"
"14087047","JK120065","01/18/2026 02:15:00 PM","019XX N HARLEM AVE","0460","BATTERY","SIMPLE","COMMERCIAL / BUSINESS OFFICE","true","false","2513","025","29","25","08B","1127785","1912059","2026","01/26/2026 03:42:39 PM","41,915005037","-87,805969606","POINT (-87.805969606 41.915005037)"
"14087684","JK120613","01/18/2026 02:15:00 PM","005XX S WABASH AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0123","001","4","32","06","1176884","1897911","2026","01/26/2026 03:42:39 PM","41,875212095","-87,62601445","POINT (-87.62601445 41.875212095)"
"14086902","JK119940","01/18/2026 02:15:00 PM","003XX W CERMAK RD","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0914","009","11","34","14","1174359","1889753","2026","01/26/2026 03:42:39 PM","41,852882701","-87,635528609","POINT (-87.635528609 41.852882701)"
"14087891","JK120404","01/18/2026 02:06:00 PM","006XX W NORTH AVE","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","OTHER (SPECIFY)","false","false","1822","018","2","8","11","1171665","1910901","2026","01/26/2026 03:42:39 PM","41,91097387","-87,644793631","POINT (-87.644793631 41.91097387)"
"14086892","JK119924","01/18/2026 02:06:00 PM","044XX W MONROE ST","2820","OTHER OFFENSE","TELEPHONE THREAT","APARTMENT","false","true","1113","011","28","26","08A","1146767","1899293","2026","01/26/2026 03:42:39 PM","41,879632285","-87,736557282","POINT (-87.736557282 41.879632285)"
"14086884","JK119886","01/18/2026 02:05:00 PM","044XX N SHERIDAN RD","0560","ASSAULT","SIMPLE","SMALL RETAIL STORE","false","false","1914","019","46","3","08A","1168802","1929837","2026","01/26/2026 03:42:39 PM","41,962997708","-87,654760597","POINT (-87.654760597 41.962997708)"
"14087015","JK120110","01/18/2026 02:00:00 PM","027XX W MONROE ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","true","1125","011","27","27","14","1158189","1899575","2026","01/26/2026 03:42:39 PM","41,880180519","-87,694609467","POINT (-87.694609467 41.880180519)"
"14086927","JK119929","01/18/2026 02:00:00 PM","079XX S GREEN ST","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","false","false","0621","006","17","71","07","1172013","1852303","2026","01/26/2026 03:42:39 PM","41,750167966","-87,645239474","POINT (-87.645239474 41.750167966)"
"14087090","JK120124","01/18/2026 02:00:00 PM","003XX E ILLINOIS ST","0870","THEFT","POCKET-PICKING","MOVIE HOUSE / THEATER","false","false","1834","018","2","8","06","1178708","1903688","2026","01/26/2026 03:42:39 PM","41,891023035","-87,619141016","POINT (-87.619141016 41.891023035)"
"14086893","JK119974","01/18/2026 02:00:00 PM","001XX E CHICAGO AVE","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","1833","018","2","8","06","1177093","1905750","2026","01/26/2026 03:42:39 PM","41,896717997","-87,625009525","POINT (-87.625009525 41.896717997)"
"14086877","JK119922","01/18/2026 01:50:00 PM","013XX N MILWAUKEE AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","SMALL RETAIL STORE","false","false","1424","014","1","24","11","1164317","1909313","2026","01/26/2026 03:42:39 PM","41,90677498","-87,671832498","POINT (-87.671832498 41.90677498)"
"14086997","JK120056","01/18/2026 01:50:00 PM","056XX W GOODMAN ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","VEHICLE NON-COMMERCIAL","false","false","1623","016","45","11","07","1138313","1932590","2026","01/26/2026 03:42:39 PM","41,971160027","-87,766791777","POINT (-87.766791777 41.971160027)"
"14087035","JK119849","01/18/2026 01:50:00 PM","005XX N SPRINGFIELD AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1122","011","37","23","07","1150294","1903290","2026","01/26/2026 03:42:39 PM","41,890532455","-87,723502246","POINT (-87.723502246 41.890532455)"
"14086946","JK119917","01/18/2026 01:44:00 PM","079XX S WOOD ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","true","true","0611","006","17","71","08B","1165731","1851971","2026","01/26/2026 03:42:39 PM","41,749392467","-87,668268962","POINT (-87.668268962 41.749392467)"
"14086965","JK119930","01/18/2026 01:42:00 PM","005XX N SPRINGFIELD AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1122","011","37","23","07","1150294","1903290","2026","01/26/2026 03:42:39 PM","41,890532455","-87,723502246","POINT (-87.723502246 41.890532455)"
"14086925","JK119858","01/18/2026 01:40:00 PM","059XX N CENTRAL PARK AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true","1711","017","39","13","08B","1151309","1939207","2026","01/26/2026 03:42:39 PM","41,989071695","-87,718829104","POINT (-87.718829104 41.989071695)"
"14086846","JK119852","01/18/2026 01:34:00 PM","032XX N PULASKI RD","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","STREET","false","false","1732","017","30","21","04B","1149153","1921450","2026","01/26/2026 03:42:39 PM","41,940387398","-87,727221251","POINT (-87.727221251 41.940387398)"
"14087481","JK120583","01/18/2026 01:30:00 PM","002XX N PINE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","RESIDENCE - YARD (FRONT / BACK)","false","false","1523","015","37","25","07","1139459","1901141","2026","01/26/2026 03:42:39 PM","41,884839745","-87,763346491","POINT (-87.763346491 41.884839745)"
"14086840","JK119838","01/18/2026 01:30:00 PM","050XX W LAWRENCE AVE","0860","THEFT","RETAIL THEFT","CONVENIENCE STORE","true","false","1623","016","45","15","06","1141764","1931442","2026","01/26/2026 03:42:39 PM","41,967946496","-87,754130446","POINT (-87.754130446 41.967946496)"
"14087057","JK120151","01/18/2026 01:27:00 PM","065XX W BELMONT AVE","1365","CRIMINAL TRESPASS","TO RESIDENCE","APARTMENT","false","false","1632","016","38","17","26","1131944","1920553","2026","01/26/2026 03:42:39 PM","41,938242402","-87,790492064","POINT (-87.790492064 41.938242402)"
"14086872","JK119831","01/18/2026 01:27:00 PM","062XX S WOOD ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","VACANT LOT / LAND","true","false","0714","007","15","67","15","1165421","1863244","2026","01/26/2026 03:42:39 PM","41,780333686","-87,669085927","POINT (-87.669085927 41.780333686)"
"14086866","JK119911","01/18/2026 01:25:00 PM","065XX N TALMAN AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","RESIDENCE","false","false","2412","024","50","2","11","1157470","1943360","2026","01/26/2026 03:42:39 PM","42,000344154","-87,696054338","POINT (-87.696054338 42.000344154)"
"14086794","JK119815","01/18/2026 01:25:00 PM","021XX S INDIANA AVE","5111","OTHER OFFENSE","GUN OFFENDER - ANNUAL REGISTRATION","STREET","true","false","0132","001","3","33","26","1177978","1890040","2026","01/26/2026 03:42:39 PM","41,853588778","-87,622237141","POINT (-87.622237141 41.853588778)"
"14086864","JK119881","01/18/2026 01:18:00 PM","045XX N MAPLEWOOD AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1911","019","47","4","07","1158555","1930065","2026","01/26/2026 03:42:39 PM","41,96383985","-87,692428815","POINT (-87.692428815 41.96383985)"
"14086845","JK119835","01/18/2026 01:10:00 PM","064XX S ROCKWELL ST","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","RESIDENCE","true","true","0825","008","16","66","26","1160147","1861857","2026","01/26/2026 03:42:39 PM","41,776637733","-87,688459515","POINT (-87.688459515 41.776637733)"
"14086798","JK119807","01/18/2026 01:09:00 PM","108XX S MICHIGAN AVE","0460","BATTERY","SIMPLE","CHURCH / SYNAGOGUE / PLACE OF WORSHIP","false","false","0513","005","9","49","08B","1178831","1833015","2026","01/26/2026 03:42:39 PM","41,697086882","-87,620840409","POINT (-87.620840409 41.697086882)"
"14086962","JK119885","01/18/2026 01:01:00 PM","054XX S SHORE DR","3960","INTIMIDATION","INTIMIDATION","APARTMENT","false","false","0234","002","5","41","08A","1189423","1869265","2026","01/26/2026 03:42:39 PM","41,79631327","-87,580898427","POINT (-87.580898427 41.79631327)"
"14088034","JK121268","01/18/2026 01:00:00 PM","029XX W 25TH PL","0560","ASSAULT","SIMPLE","RESIDENCE","false","true","1033","010","24","30","08A","1157242","1886941","2026","01/26/2026 03:42:39 PM","41,845530781","-87,698429826","POINT (-87.698429826 41.845530781)"
"14087802","JK121147","01/18/2026 01:00:00 PM","015XX N LECLAIRE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","2533","025","37","25","14","1142090","1909816","2026","01/26/2026 03:42:39 PM","41,908596601","-87,753469621","POINT (-87.753469621 41.908596601)"
"14087585","JK120779","01/18/2026 01:00:00 PM","047XX S LAVERGNE AVE","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","RESIDENCE","false","false","0814","008","22","56","26","1143826","1872692","2026","01/26/2026 03:42:39 PM","41,80669103","-87,748021995","POINT (-87.748021995 41.80669103)"
"14086894","JK119821","01/18/2026 01:00:00 PM","043XX N SHERIDAN RD","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","1915","019","46","3","06","1168812","1929247","2026","01/26/2026 03:42:39 PM","41,96137851","-87,65474101","POINT (-87.65474101 41.96137851)"
"14087831","JK120760","01/18/2026 01:00:00 PM","039XX W 106TH ST","1130","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","RESIDENCE","false","false","2211","022","19","74","11","1152042","1834025","2026","01/26/2026 03:42:39 PM","41,700424786","-87,718900848","POINT (-87.718900848 41.700424786)"
"14086958","JK119985","01/18/2026 01:00:00 PM","061XX W DICKENS AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","2512","025","36","19","07","1135309","1913152","2026","01/26/2026 03:42:39 PM","41,917874078","-87,778300818","POINT (-87.778300818 41.917874078)"
"14086787","JK119792","01/18/2026 12:57:00 PM","007XX W 31ST ST","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","0915","009","11","60","06","1171697","1884328","2026","01/26/2026 03:42:39 PM","41,83805499","-87,645458414","POINT (-87.645458414 41.83805499)"
"14087087","JK120167","01/18/2026 12:50:00 PM","076XX S MARQUETTE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0421","004","7","43","14","1195650","1854831","2026","01/26/2026 03:42:39 PM","41,756553614","-87,558540893","POINT (-87.558540893 41.756553614)"
"14086829","JK119810","01/18/2026 12:50:00 PM","012XX W 79TH ST","0820","THEFT","$500 AND UNDER","CONVENIENCE STORE","false","false","0612","006","17","71","06","1169539","1852401","2026","01/26/2026 03:42:39 PM","41,750490827","-87,654302474","POINT (-87.654302474 41.750490827)"
